iter	MultiClass
0	1.538263932
1	1.486462438
2	1.445998936
3	1.380662604
4	1.328485916
5	1.266713271
6	1.213751891
7	1.159772361
8	1.139700992
9	1.10677185
10	1.082627351
11	1.0677011
12	1.031849883
13	1.004679045
14	0.9834767688
15	0.9662616885
16	0.9539977132
17	0.9324873982
18	0.9188811483
19	0.8966340829
20	0.88641372
21	0.8689089303
22	0.8587618878
23	0.8423654628
24	0.8362882959
25	0.8259886502
26	0.8194501951
27	0.8026408921
28	0.7881852331
29	0.7789636777
30	0.7680974937
31	0.7603712339
32	0.7520789555
33	0.7453193344
34	0.737069022
35	0.7295120216
36	0.7212879094
37	0.7154911013
38	0.7097979306
39	0.6956364341
40	0.6917346572
41	0.6808122612
42	0.6757773596
43	0.6720490073
44	0.6612120855
45	0.6586026067
46	0.6490462675
47	0.6432504465
48	0.6372990833
49	0.6331846878
50	0.6269174135
51	0.6222594162
52	0.6174409097
53	0.6130742176
54	0.603830849
55	0.5983352015
56	0.5939678288
57	0.5884379462
58	0.5807845317
59	0.5782435382
60	0.5753491507
61	0.5722868675
62	0.5691100956
63	0.566328275
64	0.5604075473
65	0.555013658
66	0.5517167875
67	0.5441555452
68	0.5406938428
69	0.537992195
70	0.5335775137
71	0.530508039
72	0.5261690385
73	0.5238596497
74	0.5182564369
75	0.5140415582
76	0.5098664638
77	0.5086282413
78	0.5050067927
79	0.5017036014
80	0.496598848
81	0.4936073022
82	0.4896065836
83	0.4839772302
84	0.477718622
85	0.4724009495
86	0.4713049657
87	0.4668028808
88	0.4645082647
89	0.4609554984
90	0.4558143438
91	0.4515854508
92	0.4468475974
93	0.4426004001
94	0.4392506113
95	0.4371304464
96	0.4333063409
97	0.4316809306
98	0.4297289673
99	0.4264279693
100	0.4238117694
101	0.4211813196
102	0.4173117171
103	0.4137370781
104	0.4117032313
105	0.4104569744
106	0.4078989406
107	0.4066180767
108	0.4040929962
109	0.4029575947
110	0.4005056498
111	0.3992869281
112	0.3954789995
113	0.3944112465
114	0.391164438
115	0.3889019071
