iter	Passed	Remaining
0	61	30827
1	64	16179
2	67	11225
3	70	8739
4	72	7222
5	75	6221
6	78	5501
7	80	4962
8	83	4530
9	85	4195
10	87	3908
11	90	3670
12	92	3470
13	94	3286
14	96	3131
15	99	2995
16	101	2879
17	103	2774
18	105	2677
19	107	2590
20	110	2512
21	112	2443
22	114	2378
23	117	2321
24	119	2262
25	121	2211
26	123	2164
27	125	2120
28	128	2085
29	130	2045
30	132	2009
31	135	1974
32	137	1942
33	139	1912
34	141	1881
35	143	1853
36	146	1827
37	148	1800
38	150	1777
39	152	1754
40	154	1733
41	157	1713
42	159	1692
43	161	1671
44	163	1653
45	165	1636
46	168	1620
47	170	1604
48	172	1587
49	174	1572
50	176	1557
51	179	1542
52	181	1528
53	184	1520
54	186	1508
55	188	1495
56	190	1483
57	193	1471
58	195	1459
59	197	1448
60	199	1438
61	201	1426
62	204	1418
63	206	1408
64	209	1399
65	211	1389
66	213	1379
67	215	1370
68	218	1362
69	220	1353
70	222	1345
71	224	1336
72	227	1329
73	229	1320
74	231	1312
75	233	1304
76	236	1297
77	238	1290
78	240	1283
79	242	1274
80	245	1267
81	247	1260
82	249	1252
83	251	1245
84	253	1238
85	255	1231
86	257	1224
87	260	1217
88	262	1211
89	264	1204
90	266	1198
91	268	1192
92	271	1187
93	273	1181
94	275	1175
95	277	1168
96	279	1162
97	282	1157
98	284	1151
99	286	1146
100	288	1141
101	291	1136
102	293	1130
103	295	1124
104	297	1119
105	299	1114
106	302	1110
107	304	1105
108	306	1100
109	308	1095
110	311	1090
111	313	1085
112	315	1080
113	317	1075
114	319	1071
115	322	1066
116	324	1062
117	326	1057
118	328	1052
119	331	1048
120	333	1044
121	335	1040
122	337	1035
123	340	1031
124	342	1026
125	344	1022
126	346	1018
127	348	1013
128	351	1009
129	353	1005
130	355	1001
131	357	997
132	359	992
133	361	988
134	364	984
135	366	981
136	368	977
137	371	973
138	373	969
139	375	965
140	377	961
141	379	957
142	382	954
143	384	950
144	386	946
145	388	943
146	391	939
147	393	935
148	395	930
149	397	927
150	399	923
151	401	920
152	404	916
153	406	913
154	408	909
155	410	906
156	413	902
157	415	899
158	417	895
159	419	891
160	421	888
161	424	884
162	426	881
163	428	877
164	430	874
165	432	870
166	435	867
167	437	863
168	439	860
169	441	856
170	443	853
171	445	850
172	448	846
173	450	843
174	452	840
175	454	836
176	456	833
177	458	829
178	460	826
179	463	823
180	465	820
181	467	817
182	469	813
183	471	810
184	474	807
185	476	804
186	478	800
187	480	797
188	482	794
189	484	791
190	487	787
191	489	784
192	491	781
193	493	778
194	495	775
195	498	772
196	500	769
197	502	766
198	504	763
199	506	760
200	508	757
201	511	754
202	513	751
203	515	748
204	517	744
205	519	741
206	521	738
207	523	735
208	525	732
209	528	729
210	530	726
211	532	723
212	534	720
213	536	717
214	538	714
215	540	711
216	543	708
217	545	705
218	547	702
219	549	699
220	552	697
221	554	694
222	556	691
223	558	688
224	560	685
225	563	682
226	565	679
227	567	677
228	569	674
229	571	671
230	574	668
231	576	665
232	578	662
233	580	660
234	582	657
235	584	654
236	586	651
237	589	648
238	591	645
239	593	643
240	596	640
241	598	637
242	600	634
243	602	632
244	604	629
245	606	626
246	609	623
247	611	621
248	613	618
249	615	615
250	618	613
251	620	610
252	622	607
253	624	605
254	626	602
255	629	599
256	631	597
257	633	594
258	635	591
259	637	588
260	640	586
261	642	583
262	644	580
263	646	577
264	648	575
265	651	572
266	653	570
267	655	567
268	657	564
269	659	562
270	662	559
271	664	556
272	666	554
273	668	551
274	670	548
275	673	546
276	675	543
277	677	541
278	679	538
279	682	535
280	684	533
281	686	530
282	688	528
283	690	525
284	693	522
285	695	520
286	697	517
287	699	515
288	701	512
289	704	509
290	706	507
291	708	504
292	710	501
293	712	499
294	715	496
295	717	494
296	719	491
297	721	489
298	724	486
299	726	484
300	728	481
301	730	479
302	733	476
303	735	473
304	737	471
305	739	468
306	741	466
307	743	463
308	745	460
309	747	458
310	749	455
311	751	453
312	754	450
313	756	447
314	758	445
315	760	442
316	762	440
317	764	437
318	766	435
319	768	432
320	770	429
321	772	427
322	775	424
323	777	422
324	779	419
325	781	417
326	784	414
327	786	412
328	788	409
329	790	407
330	792	404
331	794	402
332	796	399
333	798	397
334	801	394
335	803	392
336	805	389
337	807	387
338	809	384
339	812	382
340	814	379
341	816	377
342	818	374
343	821	372
344	823	369
345	825	367
346	827	364
347	829	362
348	832	360
349	834	357
350	836	355
351	838	352
352	840	350
353	843	347
354	845	345
355	847	342
356	849	340
357	852	337
358	854	335
359	856	333
360	858	330
361	861	328
362	863	325
363	865	323
364	867	320
365	869	318
366	871	315
367	874	313
368	876	311
369	878	308
370	880	306
371	883	303
372	885	301
373	887	298
374	889	296
375	891	293
376	893	291
377	895	289
378	898	286
379	901	284
380	903	282
381	905	279
382	907	277
383	909	274
384	912	272
385	914	270
386	916	267
387	919	265
388	921	262
389	923	260
390	925	258
391	927	255
392	929	253
393	932	250
394	934	248
395	936	245
396	938	243
397	940	241
398	943	238
399	945	236
400	948	234
401	950	231
402	952	229
403	954	226
404	956	224
405	958	221
406	960	219
407	963	217
408	965	214
409	967	212
410	969	209
411	971	207
412	974	205
413	976	202
